idx,rule_class,treebank,sent_id,surface,model,claude,recommended,context,verdict
1,PERSON>LOC,perseus,phi0690.phi003.perseus-lat1.tb.xml@51,Lauini,PERSON,LOC,LOC,In regna «Lauini» Dardanidae uenient;,
2,PERSON>LOC,perseus,phi0690.phi003.perseus-lat1.tb.xml@55,Xanthus,PERSON,LOC,LOC,"Non Simois tibi, nec «Xanthus», nec Dorica castra defuerint;",
3,PERSON>LOC,perseus,phi0690.phi003.perseus-lat1.tb.xml@133,Aornon,PERSON,LOC,LOC,unde locum Grai dixerunt nomine «Aornon».,
4,PERSON>LOC,perseus,phi0959.phi006.perseus-lat1.tb.xml@34,Lycaei,PERSON,LOC,LOC,…latebris horrenda ferarum et cum Cyllene gelidi pineta «Lycaei»:,
5,PERSON>LOC,perseus,phi0959.phi006.perseus-lat1.tb.xml@203,Peneidas,PERSON,LOC,LOC,…s expalluit illa citae que uicta labore fugae spectans «Peneidas» undas ' fer pater ' inquit ' opem si flumina numen hab…,
6,PERSON>LOC,perseus,phi0959.phi006.perseus-lat1.tb.xml@221,Apidanus,PERSON,LOC,LOC,"…r parentem, populifer Sperchios et inrequietus Enipeus «Apidanus» que senex lenis que Amphrysos et Aeas, mox que amnes a…",
7,PERSON>LOC,proiel,33562,Philadelphiae,PERSON,LOC,LOC,et angelo «Philadelphiae» ecclesiae scribe .,
8,PERSON>LOC,proiel,76047,Amaltheam,PERSON,LOC,LOC,ego enim te arbitror caesis apud «Amaltheam» tuam uictimis statim esse ad Sicyonem oppugnandum prof…,
9,PERSON>LOC,proiel,76069,Miseni,PERSON,LOC,LOC,τοποθεσίαν quam postulas «Miseni» et Puteolorum includam orationi meae .,
10,PERSON>LOC,proiel,81808,Amalthea,PERSON,LOC,LOC,si quies dabitur ab «Amalthea» te non commouebo .,
11,PERSON>LOC,udante,DVE-49,Florentiam,PERSON,LOC,LOC,"…scibus equor, quanquam Sarnum biberimus ante dentes et «Florentiam» adeo diligamus ut, quia dileximus, exilium patiamur in…",
12,PERSON>LOC,udante,DVE-84-c,Apenini,PERSON,LOC,LOC,a meridie quoque Prouincialibus et «Apenini» deuexione clauduntur.,
13,PERSON>LOC,udante,DVE-91-c,Strate Maioris,PERSON,LOC,LOC,"…es, ut Bononienses Burgi Sancti Felicis et Bononienses «Strate Maioris».",
14,PERSON>LOC,udante,DVE-110-a,Apenini,PERSON,LOC,LOC,"…at de linea diuidente, breuiter respondemus esse iugum «Apenini», quod, ceu fistule culmen hinc inde ad diuersa stillic…",
15,PERSON>LOC,udante,DVE-111-a,Ducatus,PERSON,LOC,LOC,"Et dextri regiones sunt Apulia, sed non tota, Roma, «Ducatus», Tuscia et Ianuensis Marchia;",
16,PERSON>LOC,udante,DVE-111-b,Uenetiis,PERSON,LOC,LOC,"…onitana, Romandiola, Lombardia, Marchia Triuisiana cum «Uenetiis».",
17,PERSON>LOC,udante,DVE-122,Anconitane Marchie,PERSON,LOC,LOC,"Post hos incolas «Anconitane Marchie» decerpamus, qui Chignamente state siate locuntur: cum …",
18,PERSON>LOC,udante,DVE-150,Apenini,PERSON,LOC,LOC,Transeuntes nunc humeros «Apenini» frondiferos leuam Ytaliam contatim uenemur ceu solemus…,
19,PERSON>LOC,udante,DVE-161,Uerone,PERSON,LOC,LOC,"…ordellus de Mantua sua ostendit, Cremone, Brixie atque «Uerone» confini: qui, tantus eloquentie uir existens, non solu…",
